STEP,value,step,Measure,YEAR,MONTH,MONTH_NUM,MonthYear,Marker,SITE
11,0.4416058394160584,11,Appearance,2020,November,11,11/20,18S,Lanikai
12,0.28378378378378377,12,Appearance,2020,December,12,12/20,18S,Lanikai
12,0.7331081081081081,12,Total,2020,December,12,12/20,18S,Lanikai
12,0.44932432432432434,12,Disappearance,2020,December,12,12/20,18S,Lanikai
13,0.4758842443729904,13,Appearance,2021,January,1,01/21,18S,Lanikai
13,0.2765273311897106,13,Disappearance,2021,January,1,01/21,18S,Lanikai
13,0.752411575562701,13,Total,2021,January,1,01/21,18S,Lanikai
14,0.4180064308681672,14,Disappearance,2021,March,3,03/21,18S,Lanikai
14,0.2765273311897106,14,Appearance,2021,March,3,03/21,18S,Lanikai
14,0.6945337620578779,14,Total,2021,March,3,03/21,18S,Lanikai
15,0.7291666666666666,15,Total,2021,April,4,04/21,18S,Lanikai
15,0.48333333333333334,15,Disappearance,2021,April,4,04/21,18S,Lanikai
15,0.24583333333333332,15,Appearance,2021,April,4,04/21,18S,Lanikai
16,0.7068062827225131,16,Total,2021,June,6,06/21,18S,Lanikai
16,0.3507853403141361,16,Appearance,2021,June,6,06/21,18S,Lanikai
16,0.35602094240837695,16,Disappearance,2021,June,6,06/21,18S,Lanikai
17,0.3787878787878788,17,Appearance,2023,June,6,06/23,18S,Lanikai
17,0.7424242424242424,17,Total,2023,June,6,06/23,18S,Lanikai
17,0.36363636363636365,17,Disappearance,2023,June,6,06/23,18S,Lanikai
2,0.8547008547008547,2,Total,2019,September,9,09/19,18S,Lanikai
2,0.23931623931623933,2,Disappearance,2019,September,9,09/19,18S,Lanikai
2,0.6153846153846154,2,Appearance,2019,September,9,09/19,18S,Lanikai
3,0.7661691542288557,3,Total,2019,November,11,11/19,18S,Lanikai
3,0.5572139303482587,3,Appearance,2019,November,11,11/19,18S,Lanikai
3,0.208955223880597,3,Disappearance,2019,November,11,11/19,18S,Lanikai
4,0.40892193308550184,4,Appearance,2020,February,2,02/20,18S,Lanikai
4,0.6951672862453532,4,Total,2020,February,2,02/20,18S,Lanikai
4,0.2862453531598513,4,Disappearance,2020,February,2,02/20,18S,Lanikai
5,0.6883116883116883,5,Disappearance,2020,May,5,05/20,18S,Lanikai
5,0.16883116883116883,5,Appearance,2020,May,5,05/20,18S,Lanikai
5,0.8571428571428571,5,Total,2020,May,5,05/20,18S,Lanikai
6,0.20625,6,Disappearance,2020,June,6,06/20,18S,Lanikai
6,0.75625,6,Total,2020,June,6,06/20,18S,Lanikai
6,0.55,6,Appearance,2020,June,6,06/20,18S,Lanikai
7,0.7093023255813954,7,Total,2020,July,7,07/20,18S,Lanikai
7,0.4476744186046512,7,Disappearance,2020,July,7,07/20,18S,Lanikai
7,0.2616279069767442,7,Appearance,2020,July,7,07/20,18S,Lanikai
8,0.4692737430167598,8,Appearance,2020,August,8,08/20,18S,Lanikai
8,0.3463687150837989,8,Disappearance,2020,August,8,08/20,18S,Lanikai
8,0.8156424581005587,8,Total,2020,August,8,08/20,18S,Lanikai
9,0.36065573770491804,9,Appearance,2020,September,9,09/20,18S,Lanikai
9,0.3770491803278688,9,Disappearance,2020,September,9,09/20,18S,Lanikai
9,0.7377049180327869,9,Total,2020,September,9,09/20,18S,Lanikai
NA,NA,NA,NA,NA,NA,NA,09/19,18S,Maunalua
NA,NA,NA,NA,NA,NA,NA,09/19,18S,Maunalua
NA,NA,NA,NA,NA,NA,NA,09/19,18S,Maunalua
10,0.5132275132275133,10,Disappearance,2020,October,10,10/20,18S,Maunalua
10,0.6851851851851852,10,Total,2020,October,10,10/20,18S,Maunalua
10,0.17195767195767195,10,Appearance,2020,October,10,10/20,18S,Maunalua
11,0.125,11,Disappearance,2020,November,11,11/20,18S,Maunalua
11,0.7351694915254238,11,Total,2020,November,11,11/20,18S,Maunalua
11,0.6101694915254238,11,Appearance,2020,November,11,11/20,18S,Maunalua
12,0.2222222222222222,12,Appearance,2020,December,12,12/20,18S,Maunalua
12,0.5988700564971752,12,Total,2020,December,12,12/20,18S,Maunalua
12,0.3766478342749529,12,Disappearance,2020,December,12,12/20,18S,Maunalua
13,0.11021505376344086,13,Appearance,2021,January,1,01/21,18S,Maunalua
13,0.543010752688172,13,Disappearance,2021,January,1,01/21,18S,Maunalua
13,0.6532258064516129,13,Total,2021,January,1,01/21,18S,Maunalua
14,0.22456140350877193,14,Disappearance,2021,March,3,03/21,18S,Maunalua
14,0.40350877192982454,14,Appearance,2021,March,3,03/21,18S,Maunalua
14,0.6280701754385964,14,Total,2021,March,3,03/21,18S,Maunalua
15,0.5766016713091922,15,Total,2021,April,4,04/21,18S,Maunalua
15,0.19220055710306408,15,Disappearance,2021,April,4,04/21,18S,Maunalua
15,0.38440111420612816,15,Appearance,2021,April,4,04/21,18S,Maunalua
16,0.5582655826558266,16,Total,2021,June,6,06/21,18S,Maunalua
16,0.2140921409214092,16,Appearance,2021,June,6,06/21,18S,Maunalua
16,0.34417344173441733,16,Disappearance,2021,June,6,06/21,18S,Maunalua
17,0.4182692307692308,17,Appearance,2023,June,6,06/23,18S,Maunalua
17,0.65625,17,Total,2023,June,6,06/23,18S,Maunalua
17,0.23798076923076922,17,Disappearance,2023,June,6,06/23,18S,Maunalua
2,0.6412429378531074,2,Total,2019,September,9,09/19,18S,Maunalua
2,0.1271186440677966,2,Disappearance,2019,September,9,09/19,18S,Maunalua
2,0.5141242937853108,2,Appearance,2019,September,9,09/19,18S,Maunalua
3,0.6472148541114059,3,Total,2019,November,11,11/19,18S,Maunalua
3,0.18037135278514588,3,Appearance,2019,November,11,11/19,18S,Maunalua
3,0.46684350132625996,3,Disappearance,2019,November,11,11/19,18S,Maunalua
4,0.42406876790830944,4,Appearance,2020,February,2,02/20,18S,Maunalua
4,0.667621776504298,4,Total,2020,February,2,02/20,18S,Maunalua
4,0.24355300859598855,4,Disappearance,2020,February,2,02/20,18S,Maunalua
5,0.27970297029702973,5,Disappearance,2020,May,5,05/20,18S,Maunalua
5,0.3465346534653465,5,Appearance,2020,May,5,05/20,18S,Maunalua
5,0.6262376237623762,5,Total,2020,May,5,05/20,18S,Maunalua
6,0.2838983050847458,6,Disappearance,2020,June,6,06/20,18S,Maunalua
6,0.6673728813559322,6,Total,2020,June,6,06/20,18S,Maunalua
6,0.3834745762711864,6,Appearance,2020,June,6,06/20,18S,Maunalua
7,0.5407725321888412,7,Total,2020,July,7,07/20,18S,Maunalua
7,0.26609442060085836,7,Disappearance,2020,July,7,07/20,18S,Maunalua
7,0.27467811158798283,7,Appearance,2020,July,7,07/20,18S,Maunalua
8,0.29338842975206614,8,Appearance,2020,August,8,08/20,18S,Maunalua
8,0.28512396694214875,8,Disappearance,2020,August,8,08/20,18S,Maunalua
8,0.5785123966942148,8,Total,2020,August,8,08/20,18S,Maunalua
9,0.2171945701357466,9,Appearance,2020,September,9,09/20,18S,Maunalua
9,0.2918552036199095,9,Disappearance,2020,September,9,09/20,18S,Maunalua
9,0.5090497737556561,9,Total,2020,September,9,09/20,18S,Maunalua
NA,NA,NA,NA,NA,NA,NA,09/19,18S,Waimānalo
NA,NA,NA,NA,NA,NA,NA,09/19,18S,Waimānalo
NA,NA,NA,NA,NA,NA,NA,09/19,18S,Waimānalo
10,0.4084507042253521,10,Disappearance,2020,October,10,10/20,18S,Waimānalo
10,0.6591549295774648,10,Total,2020,October,10,10/20,18S,Waimānalo
10,0.2507042253521127,10,Appearance,2020,October,10,10/20,18S,Waimānalo
11,0.20634920634920634,11,Disappearance,2020,November,11,11/20,18S,Waimānalo
11,0.6507936507936508,11,Total,2020,November,11,11/20,18S,Waimānalo
11,0.4444444444444444,11,Appearance,2020,November,11,11/20,18S,Waimānalo
12,0.24050632911392406,12,Appearance,2020,December,12,12/20,18S,Waimānalo
12,0.5443037974683544,12,Total,2020,December,12,12/20,18S,Waimānalo
12,0.3037974683544304,12,Disappearance,2020,December,12,12/20,18S,Waimānalo
13,0.260752688172043,13,Appearance,2021,January,1,01/21,18S,Waimānalo
13,0.4327956989247312,13,Disappearance,2021,January,1,01/21,18S,Waimānalo
13,0.6935483870967742,13,Total,2021,January,1,01/21,18S,Waimānalo
14,0.2634146341463415,14,Disappearance,2021,March,3,03/21,18S,Waimānalo
14,0.4853658536585366,14,Appearance,2021,March,3,03/21,18S,Waimānalo
14,0.748780487804878,14,Total,2021,March,3,03/21,18S,Waimānalo
15,0.5983827493261455,15,Total,2021,April,4,04/21,18S,Waimānalo
15,0.4123989218328841,15,Disappearance,2021,April,4,04/21,18S,Waimānalo
15,0.18598382749326145,15,Appearance,2021,April,4,04/21,18S,Waimānalo
16,0.5625,16,Total,2021,June,6,06/21,18S,Waimānalo
16,0.19852941176470587,16,Appearance,2021,June,6,06/21,18S,Waimānalo
16,0.3639705882352941,16,Disappearance,2021,June,6,06/21,18S,Waimānalo
17,0.3663003663003663,17,Appearance,2023,June,6,06/23,18S,Waimānalo
17,0.6666666666666666,17,Total,2023,June,6,06/23,18S,Waimānalo
17,0.30036630036630035,17,Disappearance,2023,June,6,06/23,18S,Waimānalo
2,0.973404255319149,2,Total,2019,September,9,09/19,18S,Waimānalo
2,0.05851063829787234,2,Disappearance,2019,September,9,09/19,18S,Waimānalo
2,0.9148936170212766,2,Appearance,2019,September,9,09/19,18S,Waimānalo
3,0.774074074074074,3,Total,2019,November,11,11/19,18S,Waimānalo
3,0.34444444444444444,3,Appearance,2019,November,11,11/19,18S,Waimānalo
3,0.42962962962962964,3,Disappearance,2019,November,11,11/19,18S,Waimānalo
4,0.6216216216216216,4,Appearance,2020,February,2,02/20,18S,Waimānalo
4,0.7321867321867321,4,Total,2020,February,2,02/20,18S,Waimānalo
4,0.11056511056511056,4,Disappearance,2020,February,2,02/20,18S,Waimānalo
5,0.3580508474576271,5,Disappearance,2020,May,5,05/20,18S,Waimānalo
5,0.2330508474576271,5,Appearance,2020,May,5,05/20,18S,Waimānalo
5,0.5911016949152542,5,Total,2020,May,5,05/20,18S,Waimānalo
6,0.2626728110599078,6,Disappearance,2020,June,6,06/20,18S,Waimānalo
6,0.5645161290322581,6,Total,2020,June,6,06/20,18S,Waimānalo
6,0.30184331797235026,6,Appearance,2020,June,6,06/20,18S,Waimānalo
7,0.5194508009153318,7,Total,2020,July,7,07/20,18S,Waimānalo
7,0.2517162471395881,7,Disappearance,2020,July,7,07/20,18S,Waimānalo
7,0.26773455377574373,7,Appearance,2020,July,7,07/20,18S,Waimānalo
8,0.2651685393258427,8,Appearance,2020,August,8,08/20,18S,Waimānalo
8,0.23820224719101124,8,Disappearance,2020,August,8,08/20,18S,Waimānalo
8,0.503370786516854,8,Total,2020,August,8,08/20,18S,Waimānalo
9,0.18313253012048192,9,Appearance,2020,September,9,09/20,18S,Waimānalo
9,0.35903614457831323,9,Disappearance,2020,September,9,09/20,18S,Waimānalo
9,0.54216867469879515,9,Total,2020,September,9,09/20,18S,Waimānalo
